x,time
83800,0.653
83900,0.655
84000,0.656
84100,0.657
84200,0.658
84300,0.659
84400,0.66
84500,0.661
84600,0.662
84700,0.664
84800,0.664
84900,0.666
85000,0.667
85100,0.668
85200,0.669
85300,0.67
85400,0.671
85500,0.672
85600,0.673
85700,0.674
85800,0.675
85900,0.676
86000,0.677
86100,0.678
86200,0.68
86300,0.681
86400,0.682
86500,0.683
86600,0.684
86700,0.686
86800,0.687
86900,0.689
87000,0.689
87100,0.69
87200,0.691
87300,0.693
87400,0.694
87500,0.695
87600,0.696
87700,0.697
87800,0.698
87900,0.7
88000,0.701
88100,0.702
88200,0.704
88300,0.704
88400,0.705
88500,0.707
88600,0.709
88700,0.71
88800,0.711
88900,0.711
89000,0.713
89100,0.715
89200,0.717
89300,0.718
89400,0.719
89500,0.721
89600,0.723
89700,0.724
89800,0.725
89900,0.726
90000,0.727
90100,0.729
90200,0.73
90300,0.731
90400,0.732
90500,0.733
90600,0.735
90700,0.736
90800,0.738
90900,0.739
91000,0.74
91100,0.742
91200,0.743
91300,0.744
91400,0.745
91500,0.746
91600,0.747
91700,0.748
91800,0.75
91900,0.751
92000,0.752
92100,0.753
92200,0.754
92300,0.756
92400,0.757
92500,0.758
92600,0.759
92700,0.76
92800,0.761
92900,0.763
93000,0.764
93100,0.765
93200,0.766
93300,0.767
93400,0.768
93500,0.77
93600,0.771
93700,0.773
93800,0.774
93900,0.774
94000,0.776
94100,0.777
94200,0.779
94300,0.78
94400,0.78
94500,0.781
94600,0.783
94700,0.785
94800,0.786
94900,0.788
95000,0.789
95100,0.79
95200,0.792
95300,0.793
95400,0.794
95500,0.795
95600,0.797
95700,0.799
95800,0.8
95900,0.801
96000,0.802
96100,0.803
96200,0.805
96300,0.806
96400,0.807
96500,0.808
96600,0.809
96700,0.811
96800,0.813
96900,0.814
97000,0.815
97100,0.816
97200,0.818
97300,0.82
97400,0.822
97500,0.823
97600,0.824
97700,0.826
97800,0.827
97900,0.828
98000,0.829
98100,0.83
98200,0.832
98300,0.833
98400,0.834
98500,0.835
98600,0.836
98700,0.838
98800,0.839
98900,0.84
99000,0.841
99100,0.842
99200,0.843
99300,0.844
99400,0.846
99500,0.848
99600,0.849
99700,0.85
99800,0.851
99900,0.853
100000,0.854
