x,time,time
44900,0.242,0.217
45000,0.242,0.218
45100,0.243,0.219
45200,0.245,0.22
45300,0.245,0.221
45400,0.246,0.222
45500,0.247,0.223
45600,0.248,0.224
45700,0.249,0.224
45800,0.25,0.225
45900,0.25,0.225
46000,0.252,0.227
46100,0.253,0.228
46200,0.253,0.229
46300,0.254,0.23
46400,0.254,0.23
46500,0.255,0.231
46600,0.256,0.231
46700,0.257,0.232
46800,0.257,0.233
46900,0.258,0.234
47000,0.258,0.235
47100,0.259,0.236
47200,0.259,0.237
47300,0.26,0.238
47400,0.26,0.239
47500,0.261,0.239
47600,0.261,0.24
47700,0.262,0.241
47800,0.263,0.242
47900,0.265,0.243
48000,0.266,0.244
48100,0.266,0.244
48200,0.267,0.245
48300,0.267,0.246
48400,0.268,0.246
48500,0.269,0.247
48600,0.27,0.248
48700,0.27,0.249
48800,0.272,0.25
48900,0.273,0.251
49000,0.273,0.252
49100,0.274,0.252
49200,0.274,0.253
49300,0.275,0.253
49400,0.276,0.254
49500,0.277,0.255
49600,0.278,0.257
49700,0.28,0.257
49800,0.281,0.258
49900,0.281,0.259
50000,0.282,0.259
50100,0.282,0.26
50200,0.284,0.26
50300,0.285,0.261
50400,0.286,0.262
50500,0.287,0.264
50600,0.288,0.264
50700,0.288,0.265
50800,0.289,0.265
50900,0.291,0.266
51000,0.291,0.267
51100,0.292,0.267
51200,0.293,0.269
51300,0.294,0.269
51400,0.294,0.271
51500,0.295,0.272
51600,0.295,0.29
51700,0.296,0.291
51800,0.297,0.291
51900,0.297,0.292
52000,0.299,0.293
52100,0.3,0.294
52200,0.301,0.295
52300,0.302,0.296
52400,0.302,0.297
52500,0.303,0.298
52600,0.304,0.3
52700,0.322,0.304
52800,0.329,0.305
52900,0.33,0.306
53000,0.331,0.306
53100,0.332,0.307
53200,0.334,0.307
53300,0.334,0.309
53400,0.335,0.31
53500,0.336,0.311
53600,0.337,0.312
53700,0.339,0.313
53800,0.341,0.314
53900,0.344,0.314
54000,0.345,0.315
54100,0.346,0.316
54200,0.347,0.316
54300,0.348,0.317
54400,0.349,0.318
54500,0.349,0.319
54600,0.35,0.321
54700,0.35,0.321
54800,0.351,0.322
54900,0.352,0.323
